parameter,val,err,source
resolution,2200,,design
f_col,200,,design
f_cam,70,,design
fratio_col,4,,design
fratio_cam,1.28,,design
blade_obscure,0.9,,design
d_beam,50,,design
fiber_theta,0.75,,design
fiber_core_d,110,3,measurement
fiber_frd,0.077,0.02665,measurement
microlens_thru,ECI_FusedSilica.txt,,estimate
fiber_ar_thru,fiber_ar.txt,,estimate
fiber_internal_thru,Polymicro_FBPI_8m.txt,,model
collimator_thru,dielectric_mirror.txt,,model
sl_thru,,0.0020118,measurement
bg_thru,,0.002798,measurement
red_vph,red_vph_avg.txt,red_vph_avg_err.txt,measurement
green_vph,green_vph_avg.txt,green_vph_avg_err.txt,measurement
blue_vph,blue_vph_avg.txt,blue_vph_avg_err.txt,measurement
red_prism,ECI_FusedSilica.txt,,model
green_prism,ECI_FusedSilica.txt,,model
blue_prism,ECI_FusedSilica.txt,,model
l1_red_thru,l1_thru_avg.txt,l1_thru_avg_err.txt,measurement
l2_red_thru,l2_thru_avg.txt,l2_thru_avg_err.txt,measurement
l3_red_thru,l3_thru_avg.txt,l3_thru_avg_err.txt,measurement
l4_red_thru,l4_thru_avg.txt,l4_thru_avg_err.txt,measurement
l5_red_thru,l5_thru_avg.txt,l5_thru_avg_err.txt,measurement
l6_red_thru,l6_thru_avg.txt,l6_thru_avg_err.txt,measurement
l7_red_thru,l7_thru_avg.txt,l7_thru_avg_err.txt,measurement
red_window_thru,ECI_FusedSilica.txt,,estimate
l1_green_thru,l1_thru_avg.txt,l1_thru_avg_err.txt,measurement
l2_green_thru,l2_thru_avg.txt,l2_thru_avg_err.txt,measurement
l3_green_thru,l3_thru_avg.txt,l3_thru_avg_err.txt,measurement
l4_green_thru,l4_thru_avg.txt,l4_thru_avg_err.txt,measurement
l5_green_thru,l5_thru_avg.txt,l5_thru_avg_err.txt,measurement
l6_green_thru,l6_thru_avg.txt,l6_thru_avg_err.txt,measurement
l7_green_thru,l7_thru_avg.txt,l7_thru_avg_err.txt,measurement
green_window_thru,ECI_FusedSilica.txt,,estimate
l1_blue_thru,l1_thru_avg.txt,l1_thru_avg_err.txt,measurement
l2_blue_thru,l2_thru_avg.txt,l2_thru_avg_err.txt,measurement
l3_blue_thru,l3_thru_avg.txt,l3_thru_avg_err.txt,measurement
l4_blue_thru,l4_thru_avg.txt,l4_thru_avg_err.txt,measurement
l5_blue_thru,l5_thru_avg.txt,l5_thru_avg_err.txt,measurement
l6_blue_thru,l6_thru_avg.txt,l6_thru_avg_err.txt,measurement
l7_blue_thru,l7_thru_avg.txt,l7_thru_avg_err.txt,measurement
blue_window_thru,ECI_FusedSilica.txt,,estimate
red_internal_thru,llamas_internal_red.txt,llamas_internal_red_err.txt,measurement
green_internal_thru,llamas_internal_blue_ex.txt,llamas_internal_blue_err.txt,measurement
blue_internal_thru,llamas_internal_blue.txt,llamas_internal_blue_err.txt,measurement
red_rn,2.45875,0.02515,measurement
red_dc,0.001217,0.00021625,measurement
green_rn,2.57875,0.0258,measurement
green_dc,0.001409125,0.000177888,measurement
blue_rn,2.42875,0.0244875,measurement
blue_dc,0.00105175,4.01E-05,measurement
skyfile,eso_newmoon_radiance.txt,,model
